cell	method	tag	stage	metric	value	delta_vs_unsteered
qw_qa	sparse	cap_gen_qw_qa_sp_qw_qa_l0_ep16_all	generative	MMLU/CHOICE/ACCURACY	0.6470	-0.0370
qw_qa	unsteered	cap_gen_qw_qa_uns	generative	MMLU/CHOICE/ACCURACY	0.6840	
qw_qa	iti	cap_ctaw_qw_qa_iti_qw_qa_a8	loglik-ct-arcwiki	ARC_CHALLENGE/ACC	0.4735	+0.0153
qw_qa	iti	cap_ctaw_qw_qa_iti_qw_qa_k128	loglik-ct-arcwiki	ARC_CHALLENGE/ACC	0.4189	-0.0393
qw_qa	iti	cap_ctaw_qw_qa_iti_qw_qa_k96	loglik-ct-arcwiki	ARC_CHALLENGE/ACC	0.4027	-0.0555
qw_qa	sparse	cap_ctaw_qw_qa_sp_qw_qa_l0.003_ep16_all	loglik-ct-arcwiki	ARC_CHALLENGE/ACC	0.4454	-0.0128
qw_qa	sparse	cap_ctaw_qw_qa_sp_qw_qa_l0_ep16_all	loglik-ct-arcwiki	ARC_CHALLENGE/ACC	0.4206	-0.0376
qw_qa	unsteered	cap_ctaw_qw_qa_uns	loglik-ct-arcwiki	ARC_CHALLENGE/ACC	0.4582	
qw_qa	iti	cap_ctaw_qw_qa_iti_qw_qa_a8	loglik-ct-arcwiki	ARC_CHALLENGE/ACC_NORM	0.4403	+0.0086
qw_qa	iti	cap_ctaw_qw_qa_iti_qw_qa_k128	loglik-ct-arcwiki	ARC_CHALLENGE/ACC_NORM	0.4010	-0.0307
qw_qa	iti	cap_ctaw_qw_qa_iti_qw_qa_k96	loglik-ct-arcwiki	ARC_CHALLENGE/ACC_NORM	0.3925	-0.0392
qw_qa	sparse	cap_ctaw_qw_qa_sp_qw_qa_l0.003_ep16_all	loglik-ct-arcwiki	ARC_CHALLENGE/ACC_NORM	0.4104	-0.0213
qw_qa	sparse	cap_ctaw_qw_qa_sp_qw_qa_l0_ep16_all	loglik-ct-arcwiki	ARC_CHALLENGE/ACC_NORM	0.4019	-0.0298
qw_qa	unsteered	cap_ctaw_qw_qa_uns	loglik-ct-arcwiki	ARC_CHALLENGE/ACC_NORM	0.4317	
qw_qa	iti	cap_ctaw_qw_qa_iti_qw_qa_a8	loglik-ct-arcwiki	WIKITEXT/BITS_PER_BYTE	0.6698	+0.0473
